DO	pH	ORP	Cond	Temp	WQI
9.494212038	13.7659336	0.14840198	12.954404	17.830261	54.81198761
9.500406233	13.33753478	0.1445036	8.547796	17.798553	51.48805044
9.487447744	13.19846317	0.13437152	16.847918	17.86493	50.4207018
9.486121036	12.73211614	0.14270854	16.884756	17.871735	46.90164604
9.485210959	13.28446675	0.13752413	16.987082	17.876404	51.10465478
18.413895	13.10757162	0.1368258	20.01182	17.872925	47.70424932
17.560917	13.27273418	0.1375587	16.825544	17.889435	48.97223949
17.419922	13.38059122	0.1378684	16.851637	17.892822	49.79933461
17.972828	13.54942696	0.13840961	17.008675	17.894867	51.09434103
9.480543951	13.04977255	0.14549327	16.815346	17.90036	49.36974088
9.479343582	13.20212486	0.15039897	16.794378	17.906525	50.56674676
16.906841	13.54337876	0.13906145	16.893757	17.901947	51.05154814
16.089485	13.7636048	0.13977051	16.870562	17.91803	52.74075045
17.893639	13.06831555	0.14504504	21.078703	17.868164	47.44783018
10.478089	12.93526545	0.14376736	19.73823	17.883911	46.42277212
18.264702	13.677879	0.1488905	30.233757	17.734894	52.13327119
18.571953	13.308844	0.1546197	56.188896	18.148315	49.33931415
17.599611	13.232145	0.15548062	55.421597	17.74704	48.75694408
11.472302	13.474664	0.15571022	55.843636	18.152557	50.61418684
9.428478162	13.517412	0.15609312	56.188408	18.169067	53.21133495
7.8851333	13.56478	0.15524364	56.13059	18.17035	59.69367874
9.981016	13.61183	0.15442467	56.250393	18.214691	51.73237309
10.187486	13.64016	0.15337634	56.53426	18.355286	51.86823493
10.544628	13.560082	0.15329051	56.411568	18.253143	51.25493329
10.990856	13.624706	0.15211177	56.536198	18.380585	51.74319004
11.895802	13.585626	0.15155673	56.429455	18.33081	51.44113498
11.60454	13.578875	0.15112495	56.255924	18.452179	51.38715605
11.950031	13.565178	0.15069938	56.22306	18.472809	51.28005223
12.435467	13.573656	0.15014124	56.210205	18.461151	51.34194485
13.516116	13.479082	0.14957976	55.624557	18.306274	50.61515631
13.144032	13.485743	0.14930463	55.66546	18.369293	50.66465944
7.584810925	13.4456005	0.08678365	395.5038	29.771332	59.60659624
7.580500663	13.348319	0.087136745	396.8953	29.804169	58.88109076
7.576158604	13.645336	0.08728695	397.91162	29.83728	61.17221511
7.573815099	13.09954332	0.08760476	398.665	29.855164	57.00623252
7.571740716	13.18882763	0.08724594	398.54648	29.871002	57.69584018
7.570030639	13.957033	0.08749533	398.47766	29.884064	63.58308497
7.568233414	13.02550193	0.08715773	398.43134	29.897797	56.45934392
7.565127879	13.75428089	0.0874331	398.81497	29.92154	62.05053271
7.56252312	13.76063056	0.086675406	399.1167	29.941467	62.10540438
7.559939587	13.976763	0.086431265	399.63074	29.961243	63.76842338
7.555991511	13.50364689	0.08684993	399.7094	29.991486	60.16554664
7.559154475	12.94922179	0.08695364	399.16998	29.967255	55.91050152
7.556855816	13.01548777	0.08685136	399.19922	29.984863	56.42621292
7.557058899	13.35703517	0.08743763	399.09854	29.983307	59.0424309
7.549958661	13.26384435	0.08847666	398.20602	30.03775	58.36567408
7.554402971	13.4011674	0.08824158	398.04468	30.003662	59.39528542
7.553614779	12.72979499	0.08861756	398.62433	30.009705	54.26280484
7.552846807	13.27531953	0.08935785	398.54886	30.015594	58.4451715
7.517347603	12.94549308	0.11402273	393.81934	30.28891	56.21351521
7.523412139	13.4124468	0.11352134	393.4528	30.242065	59.75704287
7.522906027	12.74015985	0.1029284	393.20636	30.245972	54.55752929
7.522412018	12.93221301	0.110891104	393.84332	30.249786	56.07221397
7.520783752	12.69015762	0.110719204	393.3373	30.26236	54.22618789
7.520127898	12.8151068	0.09604883	393.5366	30.267426	55.10680476
7.519211469	12.87157055	0.09772301	393.1631	30.274506	55.55203647
7.517987265	12.93118669	0.104658365	392.64514	30.283966	56.05096976
7.517564824	13.30616954	0.09207392	393.18915	30.287231	58.85522941
7.238049244	11.747833	0.17676711	966.2918	32.516388	48.66282158
7.251792393	11.565104	0.1757698	968.38904	32.403503	47.19648573
7.250810095	11.387913	0.17364931	964.13654	32.41156	45.83345947
7.257284284	11.173519	0.17229652	962.3178	32.35849	44.15592306
7.259904192	10.921916	0.17088723	960.8385	32.337036	42.21088118
7.267052444	10.720858	0.16973758	959.9699	32.278564	40.63345285
7.269614422	10.555404	0.16903019	958.09863	32.25763	39.35173377
7.272249035	10.447246	0.16840506	957.33765	32.236115	38.508638
7.277530401	10.397708	0.1679039	958.43274	32.193024	38.1028224
7.282814325	10.373805	0.16704607	956.65814	32.149963	37.89121595
7.285156728	10.366755	0.16616035	956.52124	32.13089	37.82185655
7.286296502	10.355967	0.16521788	955.6817	32.121613	37.72904376
7.292409207	10.365333	0.16428852	954.83344	32.0719	37.76791868
7.293370653	10.3507	0.16335845	955.1796	32.064087	37.64658263
7.298218187	10.357071	0.16235137	954.94226	32.02472	37.66789221
7.298041517	10.388073	0.16122866	955.40674	32.026154	37.89995084
7.300952543	10.39348	0.16027594	956.0323	32.002533	37.92300089
7.301294902	10.420731	0.1593759	955.98785	31.999756	38.12517499
7.304866884	10.432842	0.15850782	954.1544	31.970795	38.19693035
7.308415416	10.447377	0.15758157	953.1241	31.942047	38.28704969
7.312660735	10.473367	0.15685606	953.50824	31.907684	38.4627729
7.316162511	10.478613	0.15605617	955.2509	31.879364	38.48275236
7.316623188	10.492893	0.15523529	953.7002	31.87564	38.5855149
7.320226247	10.520803	0.15448833	954.7017	31.846527	38.77875327
7.321250281	10.527768	0.1537764	953.848	31.838257	38.82357124
7.323578941	10.540245	0.15298295	953.9434	31.819458	38.90422629
7.3265406	10.551844	0.15229964	954.21265	31.795563	38.97587963
7.327933301	10.579561	0.15161014	953.7584	31.784332	39.17796775
7.331886459	10.588446	0.15098	954.31476	31.752472	39.2246379
7.331098527	10.603981	0.1503501	952.8417	31.75882	39.34370395
7.336006121	10.604044	0.14969683	952.30035	31.7193	39.31837799
7.335960647	10.641798	0.14904141	953.09216	31.719666	39.60402317
7.338979869	10.645734	0.14837408	954.91705	31.695374	39.61689155
7.341074832	10.648858	0.1479435	954.59674	31.678528	39.62896989
7.341891022	10.656307	0.14732003	954.6455	31.671967	39.67893103
7.34459891	10.683504	0.14682126	954.455	31.650208	39.87209568
7.343364421	10.691609	0.14623666	954.12	31.660126	39.93659234
7.345354981	10.7076845	0.1457057	953.7595	31.644135	40.0477261
7.348251345	10.716805	0.14515042	954.1129	31.62088	40.10140374
7.350400012	10.735731	0.14467049	953.5631	31.603638	40.23390532
7.351514754	10.730364	0.1440978	953.8923	31.594696	40.18470776
7.351910503	10.731465	0.14355683	954.3976	31.591522	40.18844885
7.351450046	10.739529	0.14302087	953.5341	31.595215	40.24936537
